id,no,name,latitude,longitude,bearing
4973,F01114,Wesselényi utca / Erzsébet körút,47.500046,19.068895,157
4974,F01506,Mester utca / Könyves Kálmán körút,47.469814,19.082997,157
4975,F03487,Csabagyöngye utca,47.480693,19.280239,157
4976,F04404,Városház tér,47.426349,19.03951,157
4977,F04653,Lakihegy Cseresznyés utca,47.376927,19.006997,157
4978,9098,Nóra utca,47.407275,18.930738,158
4979,62519,Gazdagréti út,47.462741,19.005126,158
4980,F00099,Róka utca,47.494155,19.028948,158
4981,F00379,Kerekhegyi utca,47.560372,18.942016,158
4982,F00610,Kőzet utca,47.53274,19.028522,158
4983,F00832,Munkásotthon utca,47.559074,19.099332,158
4984,F01014,Astoria M,47.493635,19.060134,158
4985,F01782,Terebesi utca,47.494129,19.141032,158
4986,F03286,Cinkotai autóbuszgarázs,47.497948,19.238905,158
4987,F03450,Vidor utca,47.494842,19.240698,158
4988,F03452,Gyöngytyúk utca,47.491016,19.242967,158
4989,F04051,Torontál utca H,47.422549,19.105231,158
4990,F04342,Hollandi csárda,47.412308,19.097469,158
4991,F00093,Déli pályaudvar,47.499373,19.024769,159
4992,F00240,Szent Lukács Gyógyfürdő,47.51684,19.036573,159
4993,F01357,Fegyvergyár utca,47.449015,19.093684,159
4994,F01427,Timót utca,47.452218,19.09187,159
4995,F01430,Timót utca / Soroksári út,47.45087,19.088872,159
4996,F02174,Muskotály köz,47.48311,19.026325,159
4997,F03753,Margó Tivadar utca,47.446632,19.16809,159
4998,F03763,Baross utca,47.439865,19.171761,159
4999,F04812,Jókai Mór utca,47.443848,18.910918,159
5000,7817,Márta utca,47.429184,18.929497,160
5001,9676,Clark Ádám tér,47.497359,19.041594,160
5002,19314,Schell Gyuláné tér,47.459787,19.299349,160
