id,no,name,latitude,longitude,bearing
0,F03337,Erdei bekötőút,47.507803,19.235276,180
1,8262,Hidegkuti Nándor Stadion,47.49069,19.10891,-180
2,F00023,Déli pályaudvar M,47.500001,19.023809,-180
3,F01964,Csurgói út,47.455157,19.033232,-180
4,48505,Szent István Bazilika,47.500687,19.054694,-179
5,64185,Váci Mihály utca (József Attila-telep H),47.33859,19.035687,-179
6,F00003,Zsolt utca,47.49054,19.030395,-179
7,F00017,Királyhágó utca,47.496088,19.023479,-179
8,F00018,Királyhágó utca,47.495669,19.023612,-179
9,F00976,Eötvös tér,47.497944,19.047022,-179
10,F01277,Ciprus utca,47.492855,19.10876,-179
11,F01329,Hős utca,47.495706,19.109078,-179
12,F01962,Bornemissza tér,47.458278,19.033324,-179
13,F01984,Budafoki út / Dombóvári út,47.468595,19.052979,-179
14,F02757,Örs vezér tere M+H,47.504881,19.136419,-179
15,F03454,Rétsár utca,47.485457,19.243291,-179
16,F04254,Szarka utca,47.408128,19.090668,-179
17,43333,Szent Orbán tér,47.498503,19.008136,-178
18,64184,Jókai utca,47.341072,19.035806,-178
19,98538,Raktárbázis,47.464025,18.900557,-178
20,F00024,Déli pályaudvar M,47.500848,19.024021,-178
21,F00455,Zemplén Győző utca,47.595419,19.045317,-178
22,F00868,Béla utca,47.580321,19.081462,-178
23,F00943,Arany János utca M,47.502881,19.054734,-178
24,F01917,Őrmezei út,47.454785,19.018579,-178
25,F02213,Puskás Tivadar utca,47.46038,19.033388,-178
26,F04179,József Attila utca,47.424198,19.08391,-178
27,F04195,Görgey Artúr tér,47.424044,19.071927,-178
28,F04314,Csepel Kossuth Lajos utca,47.434658,19.070606,-178
29,F04643,Árpád utca,47.48009,19.343101,-178
30,9576,Rév utca,47.584794,19.081689,-177
31,64317,Bánki Donát utca,47.359457,19.047263,-177
32,F00492,Czetz János köz,47.578998,19.048961,-177
33,F00697,Fóti út,47.582375,19.081555,-177
34,F00737,Járműtelep utca,47.581898,19.116665,-177
35,F00822,Angyalföld kocsiszín,47.553015,19.091687,-177
36,F00941,Báthory utca / Bajcsy-Zsilinszky út,47.506101,19.054854,-177
37,F01028,Nyugati pályaudvar M,47.510769,19.056301,-177
38,F01470,Lobogó utca,47.462029,19.114915,-177
39,F01972,Vegyész utca,47.442548,19.045261,-177
40,F04186,Kolozsvári utca,47.426094,19.078171,-177
41,F04267,Karácsony Sándor utca H,47.426186,19.067104,-177
42,F04278,Karácsony Sándor utca,47.425916,19.069927,-177
43,F04296,Deák tér,47.427013,19.07218,-177
44,F04318,Szent Imre tér H,47.429802,19.067397,-177
45,F04323,Szent Imre tér,47.431222,19.070327,-177
46,F04327,Csepel Szent Imre tér,47.430781,19.070512,-177
47,9575,Ungvári utca,47.587313,19.08189,-176
48,44638,Görögkatolikus templom,47.424034,19.077997,-176
49,62950,Bercsényi utca,47.585689,19.051181,-176
50,F00101,Várkert Bazár,47.493114,19.043161,-176
51,F00453,Hősök tere,47.598063,19.045569,-176
52,F00574,Óbuda Bogdáni út,47.550541,19.042066,-176
53,F00659,Mátyás király út,47.585068,19.064953,-176
54,F00700,Tímár utca,47.572266,19.080764,-176
55,F00862,Tél utca / Pozsonyi utca,47.556902,19.088488,-176
56,F00870,Tungsram,47.576205,19.081112,-176
57,F01203,Rákóczi tér M,47.492662,19.070936,-176
58,F01959,Bikás park M,47.464205,19.033561,-176
59,F04191,Széchenyi István utca,47.424018,19.069754,-176
60,F04213,Szebeni utca,47.420057,19.083561,-176
61,F04332,Csepel Szent Imre tér,47.430772,19.070976,-176
62,8067,Szent Imre tér,47.430889,19.0703,-175
63,8593,Móricz Zsigmond körtér M,47.476836,19.047188,-175
64,110870,Gödöllő H,47.591508,19.357892,-175
65,F00019,Nagyenyed utca,47.498029,19.023858,-175
66,F00059,Batthyány tér M+H,47.505885,19.038023,-175
67,F00657,Sinkovits Imre utca,47.589969,19.065513,-175
68,F00664,Nánási út,47.570219,19.061599,-175
69,F01198,Harminckettesek tere,47.489991,19.070563,-175
70,F01201,Rákóczi tér M,47.492383,19.071016,-175
71,F01980,Galvani utca,47.455407,19.051598,-175
72,F02234,Kelenföldi Erőmű,47.464485,19.052793,-175
73,F02236,Hengermalom út,47.459233,19.052095,-175
74,F03166,Nyírpalota út,47.547923,19.14021,-175
75,F03924,Corvin körút,47.459674,19.126397,-175
76,F04182,Károli Gáspár utca,47.429324,19.072367,-175
77,7999,Budatétény vasútállomás (Campona),47.405702,19.014155,-174
78,61222,Kelenföld vasútállomás M,47.464364,19.018786,-174
79,69093,Bem József tér,47.511776,19.039296,-174
80,98535,Budaörs Gábor Dénes körút,47.470912,18.901412,-174
81,F00296,Lóczy Lajos utca,47.519037,19.009634,-174
82,F00751,Iglói utca,47.573661,19.102987,-174
83,F00969,Országház látogatóközpont,47.508853,19.046584,-174
84,F01197,Harminckettesek tere,47.489559,19.070589,-174
85,F02021,Albertfalva utca,47.447422,19.037504,-174
86,F02025,Fonyód utca,47.443483,19.036709,-174
87,F02031,Budafok kocsiszín,47.441414,19.036378,-174
88,F02033,Tétényi út 30.,47.466328,19.033866,-174
89,F03158,Vásárcsarnok,47.545153,19.139873,-174
90,8692,Felsőcsatári köz,47.458756,19.177096,-173
91,F01549,Árpád utca,47.463657,19.177904,-173
92,F02020,Albertfalva utca,47.44762,19.037371,-173
93,F02027,Fonyód utca,47.443267,19.036829,-173
94,F02030,Budafok kocsiszín,47.441324,19.036498,-173
95,F02601,Göncz Árpád városközpont M,47.533622,19.066849,-173
96,8793,Regényes utca,47.429436,19.020658,-172
97,8955,Gombosszeg köz,47.413107,19.118352,-172
98,9429,Keserűvíztelep (Bobpálya),47.454806,19.007542,-172
99,62726,Régi vám,47.445631,19.005613,-172
100,F00115,Szanatórium utca (Vadaspark),47.520539,18.938771,-172
101,F00136,Kolosy tér,47.527687,19.037474,-172
102,F00690,Magnólia utca,47.564732,19.030742,-172
103,F01874,Ezüstfa utca,47.479824,19.195969,-172
104,11321,Búza utca,47.551863,19.039634,-171
105,64316,Bányató út,47.36686,19.048032,-171
106,F00035,Fazekas utca,47.507989,19.034133,-171
107,F00138,Kolosy tér,47.526913,19.038204,-171
108,F00577,Bogdáni út,47.548409,19.043102,-171
109,F00661,Szent János utca,47.57879,19.063728,-171
110,F00671,Csillaghegyi út / Bojtár utca,47.560838,19.02984,-171
111,F00677,Szamos utca,47.582001,19.064487,-171
112,F01185,Üllői út,47.487176,19.068213,-171
113,F01649,Szent László tér,47.484998,19.131569,-171
114,F03330,Cinkota Lassú utca,47.520786,19.227037,-171
115,F03564,Orgoványi utca,47.452885,19.229036,-171
116,F03634,Varjú utca,47.434083,19.182904,-171
117,F03684,Wlassics Gyula utca,47.438151,19.183979,-171
118,9706,XVII. utca,47.491598,19.259995,-170
119,44115,Pöttyös utca M,47.468484,19.116055,-170
120,F00246,Zsigmond tér,47.524053,19.037421,-170
121,F00548,Áldomás utca,47.562026,19.035513,-170
122,F00583,Raktár utca,47.544713,19.042212,-170
123,F00662,Nimród utca,47.575822,19.06269,-170
124,F00744,Óceán-árok utca,47.577716,19.115915,-170
125,F00906,Székpatak utca,47.596181,19.121067,-170
126,F01411,Helyi kikötő út,47.463167,19.072701,-170
127,F02152,Budafoki út / Karinthy Frigyes út,47.476872,19.053383,-170
128,F02995,Rákospalota Csömöri-patak,47.590073,19.122428,-170
129,F03446,Hősök tere,47.48917,19.259374,-170
130,44557,Újpest Árpád út hajóállomás,47.562796,19.078314,-169
131,99633,Kelenföld vasútállomás M,47.463988,19.02311,-169
132,F00242,Komjádi Béla utca,47.520338,19.036612,-169
133,F01194,Corvin-negyed M,47.486186,19.070057,-169
134,F01986,Budafoki út / Szerémi sor,47.474361,19.052621,-169
135,F02015,Andor utca,47.455482,19.039558,-169
136,F02306,Kiss János altábornagy utca,47.492273,19.016461,-169
137,F03459,Rákosliget vasútállomás,47.4865,19.2587,-169
138,F03686,Dobozi utca,47.435953,19.183412,-169
139,8098,Szabina út,47.436409,19.013419,-168
140,8544,Szépvölgyi út H,47.527615,19.040037,-168
141,8684,Albertfalva kitérő,47.452693,19.038524,-168
142,38671,Kőbánya-Kispest M,47.462344,19.148344,-168
143,66455,Hauszmann Alajos utca / Szerémi út,47.466536,19.04957,-168
144,66457,Hengermalom út / Szerémi út,47.462066,19.048336,-168
145,F00498,Hunyadi utca,47.584799,19.05594,-168
146,F00607,Kiscelli utca,47.539244,19.040407,-168
147,F00795,Szent István tér (Újpesti piac),47.562815,19.090594,-168
148,F00806,Újpest-központ M,47.559825,19.089407,-168
149,F00815,Újpest-központ M (Munkásotthon utca),47.559114,19.08914,-168
150,F02044,Karolina út,47.471473,19.033466,-168
151,F02619,Lehel tér M,47.516167,19.059621,-168
152,F03720,Szarvas csárda tér,47.441016,19.184804,-168
153,8127,Hír utca,47.432914,19.011403,-167
154,8486,Csonka János tér,47.47007,19.044795,-167
155,56219,Újbuda-központ,47.47286,19.045954,-167
156,56221,Móricz Zsigmond körtér,47.476629,19.047227,-167
157,F00144,Margitsziget / Margit híd,47.515779,19.043743,-167
158,F00516,Kunigunda útja,47.560362,19.035009,-167
159,F00704,Károlyi István utca,47.565566,19.079192,-167
160,F00798,Újpest-központ M,47.560643,19.089833,-167
161,F00877,Deák Ferenc utca / Rózsa utca,47.563247,19.099588,-167
162,F00931,Szent István körút,47.511893,19.050513,-167
163,F00991,Markó utca,47.508817,19.049518,-167
164,F01603,Kozma utca,47.486753,19.179234,-167
165,F01648,Szent László tér,47.485277,19.131424,-167
166,F01813,Meténg utca,47.484442,19.178459,-167
167,F01997,Újbuda-központ M,47.474467,19.046478,-167
168,F02008,Etele út / Fehérvári út,47.461715,19.041758,-167
169,F02010,Etele út / Fehérvári út,47.462639,19.042274,-167
170,F02240,Kalotaszeg utca,47.459178,19.041003,-167
171,F02280,Tamási Áron utca,47.493752,19.002473,-167
172,F02437,Tamási Áron utca / Thomán István utca,47.496979,18.998077,-167
173,F02614,Lehel tér,47.517595,19.060285,-167
174,8409,Ürömhegyi lejtő,47.577663,19.032065,-166
175,8411,Aranyhegyi lejtő,47.572512,19.030128,-166
176,8740,Újbuda-központ M,47.474683,19.046385,-166
177,44129,Napfény utca,47.458582,19.11445,-166
178,71659,Nyugati pályaudvar M,47.509726,19.05492,-166
179,F00440,Szőlőkert utca,47.554966,19.040643,-166
180,F00507,Záhony utca,47.560974,19.04714,-166
181,F00512,Kaszásdűlő utca,47.557565,19.041626,-166
182,F00612,Flórián tér,47.541987,19.04119,-166
183,F00691,Madridi utca,47.546546,19.097473,-166
184,F00702,Zsilip utca,47.567904,19.079991,-166
185,F00827,Bőröndös utca,47.58521,19.117197,-166
186,F00833,Árpád üzletház,47.561062,19.098868,-166
187,F00902,Bőrfestő utca,47.586961,19.117655,-166
188,F00910,Újpest-központ M,47.561488,19.089913,-166
189,F01884,Idősek Otthona,47.437886,18.979177,-166
190,F02002,Hauszmann Alajos utca,47.467813,19.043972,-166
191,F02004,Hauszmann Alajos utca,47.467345,19.043933,-166
192,F02013,Andor utca,47.456129,19.039889,-166
193,F02145,Szent Gellért tér - Műegyetem M,47.482393,19.052569,-166
194,F02506,Parkmozi köz,47.522623,19.045096,-166
195,F04297,Csepeli híd,47.460577,19.071904,-166
196,9155,Atlétikai stadion,47.57218,19.11415,-165
197,9515,Rákospalota-Újpest vasútállomás,47.566389,19.111644,-165
198,49186,Kalotaszeg utca,47.459214,19.040857,-165
199,103389,Balatoni út / Háros utca,47.431783,19.004926,-165
200,F00361,Kossuth Lajos utca,47.552039,18.964107,-165
201,F00509,Kaszásdűlő H,47.556567,19.045533,-165
202,F00602,Galagonya utca,47.530133,19.039386,-165
203,F00824,Bőröndös utca,47.58504,19.116838,-165
204,F00905,Bőrfestő utca,47.587422,19.118064,-165
205,F01195,Corvin-negyed M,47.485385,19.06962,-165
206,F01897,Kelenvölgy-Péterhegy,47.444422,19.012579,-165
207,F01947,Hajtány sor,47.455281,19.024042,-165
208,F02238,Csonka János tér,47.469783,19.044821,-165
209,F02493,Hajós Alfréd uszoda,47.519862,19.044101,-165
210,F02536,Gyöngyösi utca M,47.548964,19.073125,-165
211,F02561,Fiastyúk utca,47.543576,19.078701,-165
212,F02563,Fiastyúk utca,47.545889,19.072008,-165
213,F02685,Gyöngyösi utca,47.548374,19.073019,-165
214,F03066,Szerencs utca,47.553321,19.111801,-165
215,F03556,Szürkebegy utca,47.475445,19.23893,-165
216,F04413,Mező utca,47.421788,19.032129,-165
217,F04697,Anna kápolna,47.58231,18.939042,-165
218,8900,Göncz Árpád városközpont M,47.531904,19.066158,-164
219,8945,Újpest-városkapu M (Váci út),47.558092,19.076836,-164
220,103388,Balatoni út / Háros utca,47.43189,19.004674,-164
221,F00830,Elem utca,47.554961,19.104615,-164
222,F00842,Árpád út,47.563269,19.110338,-164
223,F00846,Rákospalota-Újpest vasútállomás,47.565841,19.111604,-164
224,F00890,Berlini utca,47.554585,19.101546,-164
225,F02296,Vas Gereben utca,47.489078,19.009536,-164
226,F02350,Virányos út,47.512586,19.000156,-164
227,F02638,Göncz Árpád városközpont,47.532171,19.066471,-164
228,F02692,Állatkert,47.517763,19.077678,-164
229,F03055,Hubay Jenő tér,47.5618,19.115399,-164
230,F03069,Arany János utca,47.555614,19.112747,-164
231,F03071,Rákos úti szakrendelő,47.553326,19.118391,-164
232,F03074,Pázmány Péter utca,47.55085,19.107401,-164
233,F03076,Dugonics utca,47.550785,19.110722,-164
234,F03180,Rädda Barnen utca,47.557313,19.113493,-164
235,F04440,Aradi utca,47.419101,19.00658,-164
236,7888,Mester utca / Ferenc körút,47.48257,19.068477,-163
237,49183,Úszódaru utca,47.545898,19.068806,-163
238,61272,Bolygó utca,47.451007,19.016194,-163
239,69091,Margit híd budai hídfő H,47.514717,19.035936,-163
240,F00224,Mandula utca,47.519609,19.02862,-163
241,F00723,Káposztásmegyer Megyeri út,47.593204,19.119973,-163
242,F00887,Ősz utca,47.557929,19.105881,-163
243,F01378,Mester utca / Ferenc körút,47.482184,19.068463,-163
244,F02569,Sporttelep,47.533641,19.059107,-163
245,F02664,Rozsnyay utca,47.539475,19.076826,-163
246,F02665,Frangepán utca,47.536336,19.075377,-163
247,F02681,Dózsa György út,47.524358,19.063088,-163
248,F02683,Forgách utca,47.538163,19.069055,-163
249,F03070,Rákos úti szakrendelő,47.554621,19.118951,-163
250,F03103,Rákospalota MÁV-telep,47.541389,19.120939,-163
251,F03181,Wesselényi utca,47.549828,19.116898,-163
252,9031,Margit híd budai hídfő H,47.514834,19.03583,-162
253,9630,Budakalász Auchan áruház,47.611492,19.062341,-162
254,9685,Akácvirág utca,47.477351,19.255241,-162
255,44128,Valéria tér,47.465707,19.115411,-162
256,61234,Antalháza,47.436388,19.006937,-162
257,F01945,Gépész utca,47.45332,19.021537,-162
258,F02100,Farkasréti temető,47.483923,19.005374,-162
259,F02495,Palatinus fürdő,47.527732,19.047247,-162
260,F02538,Gyöngyösi utca,47.547613,19.080524,-162
261,F02586,Béke tér,47.529176,19.079941,-162
262,F03595,Újlak utca lakótelep,47.482101,19.233395,-162
263,F03620,Szent Lőrinc-telep,47.433395,19.174344,-162
264,F04477,Damjanich utca,47.402329,18.990815,-162
265,49180,Dagály fürdő,47.5391,19.061698,-161
266,F00407,Kölcsey utca,47.555674,18.965935,-161
267,F02504,Tisza utca,47.524161,19.058109,-161
268,F02508,Viza utca,47.530718,19.057765,-161
269,F02567,Népfürdő utca / Árpád híd,47.536878,19.060542,-161
270,F02674,Frangepán utca,47.533945,19.082177,-161
271,F03058,Illyés Gyula utca,47.55864,19.120697,-161
272,91821,Angyalföld vasútállomás,47.550037,19.090853,-160
273,F00646,Bálint György utca,47.599989,19.065117,-160
274,F02099,Süveg utca,47.481197,19.0047,-160
275,F02451,Csillagvizsgáló,47.500315,18.964734,-160
276,F02542,Gyöngyösi utca,47.547062,19.089251,-160
277,F02545,Gyöngyösi utca,47.545902,19.088745,-160
278,F02553,Fiastyúk utca,47.540159,19.085595,-160
279,F02573,Vág utca,47.523891,19.055785,-160
280,F02585,Béke tér,47.529376,19.080195,-160
281,F02611,Dózsa György út M,47.523918,19.062809,-160
282,F02662,Rokolya utca,47.542075,19.086513,-160
283,F03605,Városközpont (Ferihegyi út),47.480073,19.256804,-160
284,F04269,Mansfeld Péter utca,47.425624,19.063008,-160
285,F04285,Csepeli temető,47.405716,19.053252,-160
286,8405,Csillaghegy H,47.584781,19.041862,-159
287,8650,Székesdűlő ipartelep,47.61476,19.108789,-159
288,91817,Angyalföld vasútállomás,47.549906,19.090953,-159
289,102825,Örs vezér tere M+H,47.505315,19.136268,-159
290,F00863,Brüsszeli utca,47.54946,19.098658,-159
291,F02098,Süveg utca,47.481296,19.004593,-159
292,F02404,Goldmark Károly utca,47.501797,19.015553,-159
293,F02408,Kék Golyó utca,47.497571,19.020891,-159
294,F02521,Ipoly utca,47.520564,19.054072,-159
295,F02555,Fiastyúk utca,47.540426,19.08562,-159
296,F02645,Szegedi út,47.528653,19.084137,-159
297,F02658,Kucsma utca,47.54456,19.093433,-159
298,F02660,Rokolya utca,47.542701,19.086976,-159
299,F02675,Frangepán utca,47.534356,19.082255,-159
300,F03810,Ferihegy vasútállomás,47.436741,19.222565,-159
301,F04797,Bajcsy-Zsilinszky utca,47.589925,18.936022,-159
302,8242,Teleki Blanka utca,47.523865,19.093761,-158
303,9440,Zichy Péter utca,47.516133,18.92257,-158
304,9684,Városközpont Posta,47.478941,19.256176,-158
305,56231,II. János Pál pápa tér,47.495593,19.077229,-158
306,F00446,Templom utca,47.600123,19.046354,-158
307,F00717,Megyer Szondi utca,47.5856,19.094053,-158
308,F00745,Óceán-árok utca,47.578358,19.115752,-158
309,F02409,Kék Golyó utca,47.497293,19.020652,-158
310,F02414,Királyhágó tér,47.495521,19.019711,-158
311,F02497,Szabadtéri Színpad,47.52999,19.048349,-158
312,F02512,Szent István park,47.518335,19.051456,-158
313,F02550,Futár utca,47.537978,19.089589,-158
314,F02558,Násznagy utca,47.543107,19.081942,-158
315,F02598,Lehel utca / Róbert Károly körút,47.526336,19.078348,-158
316,F02635,Petneházy utca,47.531279,19.08568,-158
317,F02656,Rokolya utca,47.541719,19.091757,-158
318,F02671,Fáy utca,47.534435,19.087515,-158
319,F03750,Üllői út,47.447251,19.17024,-158
320,F04757,Harangláb,47.432729,18.913967,-158
321,8403,Kert sor,47.591374,19.045384,-157
322,44601,Solymár Auchan áruház,47.598851,18.962065,-157
323,F00437,Táncsics Mihály utca,47.602723,19.051234,-157
324,F00847,Rákospalota-Újpest vasútállomás,47.564923,19.111018,-157
325,F02629,Vágány utca / Róbert Károly körút,47.522799,19.080721,-157
326,F03021,Pozsony utca,47.568176,19.116776,-157
327,F03096,Sztárai Mihály tér,47.54008,19.12876,-157
328,F03784,Duna utca,47.433425,19.220659,-157
329,F03809,Szent László utca,47.439856,19.211861,-157
330,F03840,Lakatos úti lakótelep,47.451682,19.172968,-157
331,8918,Budatétény benzinkút,47.4301,19.003628,-156
332,56225,Fővám tér,47.485792,19.057571,-156
333,62512,Borszéki utca,47.45842,19.023497,-156
334,F00353,Villám utca,47.545042,18.952482,-156
335,F00469,Békásmegyer H,47.598146,19.055822,-156
336,F01898,Kápolna út,47.446617,19.013771,-156
337,F02016,Albertfalva kitérő,47.452172,19.038418,-156
338,F03185,Emlék tér,47.53705,19.126657,-156
339,F03883,Üllői út,47.433179,19.207227,-156
340,F04284,Tejút utca,47.409997,19.055491,-156
341,9137,Újmajori utca,47.471697,19.220067,-155
342,9358,Millenniumtelep H,47.379529,19.104152,-155
343,9495,Rákospatak utca,47.531435,19.10066,-155
344,62511,Than Károly utca,47.460867,19.025127,-155
345,73427,Művelődési Ház,47.428518,18.91297,-155
346,F00047,Clark Ádám tér,47.498312,19.039816,-155
347,F00463,Szolgáltatóház,47.601213,19.057923,-155
348,F00476,Madzsar József utca / Pünkösdfürdő utca,47.594683,19.052777,-155
349,F00649,Hatvany Lajos utca / Juhász Gyula utca,47.597156,19.063308,-155
350,F02316,Svábhegy,47.497398,18.989331,-155
351,F03095,Pestújhelyi tér,47.534264,19.124741,-155
352,F03332,Ilonatelep H (Georgina utca),47.524712,19.229467,-155
353,F03516,Széchenyi utca,47.473459,19.253634,-155
354,F03697,Fedezék utca,47.452025,19.194795,-155
355,F03700,Lőrinci temető,47.447406,19.191614,-155
356,F03703,Gárdonyi Géza utca,47.443488,19.189071,-155
357,F03705,Regény utca,47.443505,19.186521,-155
358,F03830,Kosztolányi Dezső utca,47.449554,19.193118,-155
359,F04231,Szent István út,47.391841,19.106351,-155
360,F04442,Nyél utca,47.414855,19.004238,-155
361,8331,Határ utca,47.444924,18.894036,-154
362,8439,Egyetem,47.652067,19.071331,-154
363,44131,Madzsar József utca / Pünkösdfürdő utca,47.595527,19.054026,-154
364,F01463,Kőér utcai uszoda,47.466517,19.126213,-154
365,F02114,Fehérló utca,47.478271,19.025398,-154
366,F02148,Gárdonyi tér,47.479991,19.051428,-154
367,F02514,Victor Hugo utca,47.517793,19.054762,-154
368,F02650,Radnóti Miklós utca,47.51586,19.049783,-154
369,F03386,Cinke utca,47.51725,19.222881,-154
370,F03587,Bulyovszky utca,47.471258,19.251994,-154
371,F03852,Selmecbánya utca,47.436262,19.209357,-154
372,9243,Alsó határút,47.416184,19.116209,-153
373,9339,Szent István utca H,47.391055,19.114151,-153
374,F00458,Pünkösdfürdő utca,47.594962,19.051673,-153
375,F01005,Kálvin tér M,47.489219,19.061248,-153
376,F01268,Kőbányai út / Könyves Kálmán körút,47.486149,19.107166,-153
377,F01901,Olajfa utca,47.449307,19.015214,-153
378,F02501,Zenélőkút,47.535944,19.052374,-153
379,F02523,Radnóti Miklós utca,47.515644,19.053195,-153
380,F02593,Lehel utca / Róbert Károly körút,47.525833,19.078188,-153
381,F02899,Kassai tér,47.524016,19.098116,-153
382,F02954,Sárrét park,47.534238,19.10644,-153
383,F03789,Pestszentlőrinc Béke tér,47.429588,19.218274,-153
384,8146,Vajda Péter utca,47.481389,19.103174,-152
385,8148,Kőbányai út / Könyves Kálmán körút,47.485742,19.107077,-152
386,8287,Népliget M,47.476345,19.098937,-152
387,44192,Békásmegyer H,47.597856,19.053867,-152
388,61271,Igmándi utca,47.456585,19.019811,-152
389,F00439,Gulácsy Lajos utca,47.602534,19.048003,-152
390,F00451,Pince köz,47.601572,19.036089,-152
391,F01257,Vajda Péter utca,47.481004,19.10268,-152
392,F02082,Márton Áron tér,47.48168,18.999021,-152
393,F02429,Vöröskő utca,47.496929,19.007367,-152
394,F02442,Svábhegy,47.497524,18.989742,-152
395,F02903,Pándorfalu utca,47.529512,19.102706,-152
396,F02952,Nezsider park,47.527477,19.101107,-152
397,F03151,Fő tér,47.540945,19.139162,-152
398,F03304,Cinkota H,47.520403,19.218485,-152
399,F04771,Gyár utca,47.402476,18.943997,-152
400,9369,Csepel Horgásztanya,47.388344,19.103486,-151
401,9473,Széchenyi utca,47.418464,19.032657,-151
402,F01491,Ecseri út M,47.471087,19.10912,-151
403,F02320,Adonis utca,47.503118,18.989736,-151
404,F02678,Forgách utca M,47.539458,19.069627,-151
405,F02865,Nagy Lajos király útja / Czobor utca,47.5228,19.101992,-151
406,F03716,Szarvas csárda tér,47.440325,19.186557,-151
407,F03726,Kolozsvár utca (temető),47.438126,19.157108,-151
408,F03997,Kassa utca,47.436814,19.155992,-151
409,F04193,Szent István út,47.422102,19.068441,-151
410,F04294,Csepel H,47.421824,19.065751,-151
411,8500,Ecseri út M,47.470487,19.108771,-150
412,9474,Komló utca,47.421339,19.035137,-150
413,9504,Kovácsi Kálmán tér,47.573309,19.121115,-150
414,F01482,Közterületfenntartó Zrt.,47.467691,19.106513,-150
415,F02053,Dayka Gábor utca,47.470616,19.019684,-150
416,F02286,Boldog Teréz anya tér,47.489203,19.007081,-150
417,F02947,Fűrész utca,47.526272,19.104973,-150
418,F03001,Bútorraktár,47.58247,19.123419,-150
419,8499,Közterületfenntartó Zrt.,47.467861,19.106659,-149
420,8590,Szent Gellért tér - Műegyetem M,47.483337,19.053086,-149
421,9140,Ősrepülő utca,47.469552,19.227168,-149
422,9337,Orbánhegyi dűlő,47.386335,19.110172,-149
423,47985,Szőlőskert utca,47.50214,18.916538,-149
424,98531,Farkashegyi repülőtér,47.490163,18.909369,-149
425,F00496,Huba utca,47.581642,19.054544,-149
426,F01286,Népliget M,47.475879,19.098907,-149
427,F01583,Felüljáró,47.465158,19.152296,-149
428,F02861,Rákospatak utca,47.529228,19.107563,-149
429,F03017,Kovácsi Kálmán tér,47.573938,19.121674,-149
430,F03535,Bulyovszky utca,47.473864,19.241802,-149
431,F03596,Rákóczi Ferenc utca,47.458884,19.235011,-149
432,F03769,Baross utca,47.443278,19.175945,-149
433,F03798,Kétújfalu utca,47.418989,19.2085,-149
434,F04349,Erdősor utca,47.416707,19.061336,-149
435,F04447,Őszibarack utca,47.415326,19.012466,-149
436,F04680,Lacházi fogadó,47.379465,19.00907,-149
437,F00181,Laktanya,47.526789,18.948279,-148
438,F00749,Erdősor út,47.578003,19.106647,-148
439,F01939,Torma utca,47.45028,19.019589,-148
440,F02499,Szállodák (Hotels),47.533254,19.05066,-148
441,F02858,Öv utca,47.534721,19.112695,-148
442,F02909,Miskolci utca,47.532527,19.110648,-148
443,F03005,Hulladékhasznosító Mű,47.583709,19.130488,-148
444,F03170,Árokhát út,47.577021,19.124496,-148
445,F03175,Rákospalota Székely Elek út,47.57961,19.126786,-148
446,F03846,Beszterce utca,47.425784,19.21472,-148
447,F03848,Halomi út,47.422744,19.211943,-148
448,F03894,Csíky utca,47.432469,19.165924,-148
449,F03940,Kőbánya-Kispest M,47.461958,19.149597,-148
450,F04274,Vas Gereben utca,47.412228,19.057334,-148
451,8050,Liptó utca,47.4861,19.007031,-147
452,8645,Vízművek,47.600323,19.093374,-147
453,9119,Szentendre H,47.659618,19.074522,-147
454,9422,Ezred utca,47.606849,19.098223,-147
455,F00731,Gimnázium,47.582644,19.105908,-147
456,F00759,Nádor utca,47.574485,19.09833,-147
457,F00772,Vécsey Károly utca,47.571975,19.095847,-147
458,F00896,Tinódi utca,47.569935,19.085494,-147
459,F03537,Árpád fejedelem utca,47.476846,19.244745,-147
460,F04287,Fácánhegyi utca,47.399762,19.050907,-147
461,F04499,Angeli utca / Nagytétényi út,47.390919,18.981251,-147
462,F04701,Solymár községháza,47.591669,18.937233,-147
463,8519,Tímár utca H,47.533299,19.043582,-146
464,43176,Kőbánya-Kispest M,47.461923,19.149332,-146
465,64088,Városi Könyvtár,47.344797,19.04225,-146
466,F00713,Megyeri út / Fóti út,47.579396,19.087494,-146
467,F00893,Langlet Waldemár utca,47.567148,19.082662,-146
468,F01937,Vitorlázó út,47.452769,18.990932,-146
469,F02387,Adonis utca,47.503046,18.989882,-146
470,F03523,Melczer utca,47.462925,19.238991,-146
471,F03592,Vörösmarty utca,47.461371,19.23746,-146
472,F03722,Iker utca,47.435883,19.169193,-146
473,F03861,Alacskai úti lakótelep,47.413188,19.201433,-146
474,8960,Gyáli-patak,47.394732,19.116579,-145
475,F00097,Ág utca,47.495675,19.029451,-145
476,F00494,Attila utca,47.579645,19.052948,-145
477,F00767,Szusza Ferenc Stadion,47.576042,19.083943,-145
478,F00769,Irányi Dániel utca / Baross utca,47.575653,19.09128,-145
479,F00848,Mildenberger utca,47.572435,19.088008,-145
480,F00872,Dunakeszi utca,47.584694,19.107864,-145
481,F01027,Nyugati pályaudvar M,47.511012,19.056487,-145
482,F01938,Torma utca,47.45037,19.019682,-145
483,F02255,Ménesi út,47.481835,19.038293,-145
484,F02402,Istenhegyi út,47.498515,19.016948,-145
485,F03562,Bocskai István utca,47.456181,19.232336,-145
